M_dedol_U_[a-z]	dehydrodolichol
M_dedolp_U_[a-z]	dehydrodolichol phosphate
M_g1m8mpdol_U_[a-z]	alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol
M_g2m8mpdol_U_[a-z]	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol
M_g3m8mpdol_U_[a-z]	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol
M_pmt_[a-z]	palmitate
M_sbt_D_[a-z]	sorbitol
M_st_[a-z]	stearate
M_td_[a-z]	myristate
